date,num,num_cb,sum_mood,sum_mood_cb,mood_economy,mood_cb,mood_cb_without_mood_economy,indicator
2016-08-01,13,8,-2.580864757997915,-1.5171248782426119,-0.19852805830753192,-0.18964060978032649,0.008887448527205438,0.5022218621318013
2016-08-02,30,19,-3.62682241294533,-3.971576559895766,-0.12089408043151101,-0.2090303452576719,-0.08813626482616088,0.47796593379345975
2016-08-03,81,84,-16.913270822697086,-17.134021272853715,-0.20880581262588996,-0.20397644372444898,0.004829368901440978,0.5012073422253602
2016-08-04,57,12,-7.389076126535656,-1.786580307292752,-0.12963291450062553,-0.148881692274396,-0.01924877777377046,0.4951878055565574
2016-08-05,10,37,-1.7232033922336996,-4.4050876820256235,-0.17232033922336995,-0.11905642383853036,0.053263915384839586,0.5133159788462099
2016-08-06,1,8,-0.21127395704388618,-1.7233867524191737,-0.21127395704388618,-0.21542334405239671,-0.00414938700851053,0.49896265324787237
2016-08-07,1,0,-0.17845801822841167,0.0,-0.17845801822841167,,,
2016-08-08,1,0,-0.14684198796749115,0.0,-0.14684198796749115,,,
2016-08-09,0,14,0.0,-3.7566443900577724,,-0.26833174214698374,,
2016-08-10,0,26,0.0,-3.6437164327071514,,-0.1401429397195058,,
2016-08-11,5,0,-0.35056286258623004,0.0,-0.07011257251724601,,,
2016-08-12,2,0,-0.3935552127659321,0.0,-0.19677760638296604,,,
2016-08-13,1,0,-0.2438843511044979,0.0,-0.2438843511044979,,,
2016-08-14,0,0,0.0,0.0,,,,
2016-08-15,0,0,0.0,0.0,,,,
2016-08-16,1,31,-0.3641272187232971,-6.3206637990660965,-0.3641272187232971,-0.20389238061503537,0.16023483810826175,0.5400587095270655
2016-08-17,0,3,0.0,-0.250673646107316,,-0.08355788203577201,,
2016-08-18,13,23,-0.3997649244556669,-4.42678081500344,-0.0307511480350513,-0.19246873108710608,-0.16171758305205478,0.4595706042369863
2016-08-19,2,0,-0.4131032023578882,0.0,-0.2065516011789441,,,
