date,num_c,num_c_with,sum_mood,sum_mood_with,mood_economy,mood_cb,mood_cb_without_mood_economy,indicator
2014-07-02,7,0,-1.4384816763922572,0.0,-0.20549738234175102,,,
2014-07-03,0,0,0.0,0.0,,,,
2014-07-04,0,0,0.0,0.0,,,,
2014-07-05,1,0,-0.11315979599021375,0.0,-0.11315979599021375,,,
2014-07-06,0,0,0.0,0.0,,,,
2014-07-07,9,0,-0.575860480312258,0.0,-0.06398449781247312,,,
2014-07-08,6,0,-0.4634845703840256,0.0,-0.0772474283973376,,,
2014-07-09,0,0,0.0,0.0,,,,
2014-07-10,4,0,-0.308687750948593,0.0,-0.07717193773714826,,,
2014-07-11,13,0,-0.733740652911365,0.0,-0.05644158868548962,,,
2014-07-12,0,0,0.0,0.0,,,,
2014-07-13,0,0,0.0,0.0,,,,
2014-07-14,0,0,0.0,0.0,,,,
2014-07-15,3,0,-0.4305081282509491,0.0,-0.14350270941698304,,,
2014-07-16,0,0,0.0,0.0,,,,
2014-07-17,54,1,-5.243426180211827,0.004899609833955765,-0.09710048481873754,0.004899609833955765,0.1020000946526933,0.5255000236631733
2014-07-18,1,0,-0.09745339304208755,0.0,-0.09745339304208755,,,
2014-07-19,0,0,0.0,0.0,,,,
2014-07-20,0,0,0.0,0.0,,,,
2014-07-21,0,0,0.0,0.0,,,,
2014-07-22,12,0,-2.282065637409687,0.0,-0.19017213645080724,,,
2014-07-23,9,0,-2.512254885790753,0.0,-0.27913943175452816,,,
2014-07-24,3,2,-0.4495606911368668,-0.28384973853826523,-0.14985356371228895,-0.14192486926913261,0.007928694443156331,0.5019821736107891
2014-07-25,4,1,-0.7825814695097506,-0.30925409495830536,-0.19564536737743765,-0.30925409495830536,-0.11360872758086771,0.4715978181047831
2014-07-26,1,0,-0.38126507215201855,0.0,-0.38126507215201855,,,
2014-07-27,0,0,0.0,0.0,,,,
2014-07-28,2,0,-0.22979472018778324,0.0,-0.11489736009389162,,,
2014-07-29,8,0,-0.6586882292176597,0.0,-0.08233602865220746,,,
2014-07-30,17,0,-2.662962843256537,0.0,-0.15664487313273745,,,
2014-07-31,1,1,0.015304848551750183,0.015304848551750183,0.015304848551750183,0.015304848551750183,0.0,0.5
2014-08-01,0,0,0.0,0.0,,,,
2014-08-02,0,0,0.0,0.0,,,,
2014-08-03,0,0,0.0,0.0,,,,
2014-08-04,7,0,-0.4615857705939561,0.0,-0.06594082437056516,,,
2014-08-05,4,0,-0.24649751011747867,0.0,-0.06162437752936967,,,
2014-08-06,3,0,-0.19673355792474467,0.0,-0.06557785264158156,,,
2014-08-07,7,0,-1.5694973601493984,0.0,-0.2242139085927712,,,
2014-08-08,36,0,-8.047799559077248,0.0,-0.22354998775214577,,,
2014-08-09,16,0,-2.495174197712913,0.0,-0.15594838735705707,,,
2014-08-10,0,0,0.0,0.0,,,,
2014-08-11,0,0,0.0,0.0,,,,
2014-08-12,6,0,-0.6963946935720742,0.0,-0.11606578226201236,,,
2014-08-13,4,0,-0.4060036763548851,0.0,-0.10150091908872128,,,
2014-08-14,48,1,-8.7694972420868,-0.2452519778162241,-0.18269785921014167,-0.2452519778162241,-0.06255411860608243,0.4843614703484794
2014-08-15,0,0,0.0,0.0,,,,
2014-08-16,0,0,0.0,0.0,,,,
2014-08-17,10,0,-2.0802255468443036,0.0,-0.20802255468443037,,,
2014-08-18,31,0,-3.451790122722741,0.0,-0.11134806847492713,,,
2014-08-19,8,0,-0.7127865843940526,0.0,-0.08909832304925658,,,
2014-08-20,54,0,-6.529928454896435,0.0,-0.12092460101660064,,,
2014-08-21,10,0,-1.8810097652603872,0.0,-0.18810097652603872,,,
2014-08-22,1,0,-0.08383502811193466,0.0,-0.08383502811193466,,,
2014-08-23,0,0,0.0,0.0,,,,
2014-08-24,0,0,0.0,0.0,,,,
