date,num_c,num_c_with,sum_mood,sum_mood_with
2014-08-12,6,0,-0.6963946935720742,0.0
2014-08-13,4,0,-0.4060036763548851,0.0
2014-08-14,48,1,-8.7694972420868,-0.2452519778162241
2014-08-15,0,0,0.0,0.0
2014-08-16,0,0,0.0,0.0
2014-08-17,10,0,-2.0802255468443036,0.0
2014-08-18,31,0,-3.451790122722741,0.0
2014-08-19,8,0,-0.7127865843940526,0.0
2014-08-20,54,0,-6.529928454896435,0.0
2014-08-21,10,0,-1.8810097652603872,0.0
2014-08-22,1,0,-0.08383502811193466,0.0
2014-08-23,0,0,0.0,0.0
2014-08-24,0,0,0.0,0.0
2014-08-25,24,0,-2.292718464785139,0.0
2014-08-26,10,0,0.6599669955467107,0.0
2014-08-27,36,0,-1.9554149235336808,0.0
2014-08-28,10,0,-2.230054649990052,0.0
2014-08-29,3,0,-0.08977386697370093,0.0
2014-08-30,0,0,0.0,0.0
2014-08-31,0,0,0.0,0.0
2014-09-01,22,1,-3.628360845381394,-0.6040695651900023
2014-09-02,22,0,-4.5578338933119085,0.0
2014-09-03,6,0,-1.0723421927541494,0.0
2014-09-04,43,0,-5.038727091741748,0.0
2014-09-05,0,0,0.0,0.0
2014-09-06,0,0,0.0,0.0
2014-09-07,0,0,0.0,0.0
2014-09-08,5,0,-0.12532591057242826,0.0
2014-09-09,0,0,0.0,0.0
2014-09-10,0,0,0.0,0.0
2014-09-11,0,0,0.0,0.0
2014-09-12,4,0,0.5445589082519291,0.0
2014-09-13,0,0,0.0,0.0
2014-09-14,0,0,0.0,0.0
2014-09-15,5,0,-1.5786949255270883,0.0
2014-09-16,54,0,-9.039751227479428,0.0
2014-09-17,4,0,-1.426268059760332,0.0
2014-09-18,13,0,-2.9367972629406722,0.0
2014-09-19,17,1,-2.2350836494733812,-0.49561744183301926
2014-09-20,0,0,0.0,0.0
2014-09-21,0,0,0.0,0.0
2014-09-22,16,0,-3.629483761265874,0.0
2014-09-23,2,0,-0.5760997012257576,0.0
2014-09-24,0,0,0.0,0.0
2014-09-25,0,0,0.0,0.0
2014-09-26,13,1,-2.4455678391532274,-0.15435495553538203
2014-09-27,3,0,0.04533844441175461,0.0
2014-09-28,0,0,0.0,0.0
2014-09-29,40,0,-3.8688888996111928,0.0
2014-09-30,27,0,-2.231651296839118,0.0
2014-10-01,72,0,-15.304071993465186,0.0
2014-10-02,28,0,-3.982896328350762,0.0
2014-10-03,56,0,-11.42879810417071,0.0
2014-10-04,6,0,-0.6300706975162029,0.0
2014-10-05,82,0,-2.6510432159120683,0.0
2014-10-06,15,0,-0.07457717531360686,0.0
2014-10-07,40,4,-7.676216906053014,-1.2552231419831514
2014-10-08,20,0,-4.6437401827424765,0.0
2014-10-09,29,2,-2.756388265872374,0.0012252256274223328
2014-10-10,2,0,-0.06533630192279816,0.0
2014-10-11,0,0,0.0,0.0
2014-10-12,0,0,0.0,0.0
2014-10-13,20,1,-4.466330166440457,-0.0371636301279068
2014-10-14,11,0,-1.9185242913663387,0.0
2014-10-15,5,0,-0.6681161411834182,0.0
2014-10-16,0,0,0.0,0.0
2014-10-17,4,0,0.6043579645338468,0.0
2014-10-18,0,0,0.0,0.0
2014-10-19,0,0,0.0,0.0
2014-10-20,6,0,-1.3402796722948551,0.0
2014-10-21,18,0,-2.8613152615289437,0.0
2014-10-22,12,0,-1.102614391988027,0.0
2014-10-23,17,0,-2.974303477909416,0.0
2014-10-24,9,0,-0.041134070517728105,0.0
2014-10-25,10,0,-1.6441385745274602,0.0
2014-10-26,1,0,-0.18590682558715343,0.0
2014-10-27,12,1,-1.8179447730071843,-0.2639922425150871
2014-10-28,23,0,-4.6328116071090335,0.0
2014-10-29,4,0,-0.32043630443513393,0.0
2014-10-30,25,0,-1.559837716340553,0.0
2014-10-31,10,0,-1.3816370042040944,0.0
2014-11-01,1,0,-0.15656527131795883,0.0
2014-11-02,14,0,-0.6471603285463061,0.0
2014-11-03,1,0,0.005312931054504588,0.0
2014-11-04,0,0,0.0,0.0
2014-11-05,35,4,-5.929214300820604,-0.8380399555899203
2014-11-06,12,1,-2.411563818110153,-0.036697134375572205
2014-11-07,13,0,-1.5529809284489602,0.0
2014-11-08,70,0,-9.131347292801365,0.0
2014-11-09,3,0,-0.7997019868344069,0.0
2014-11-10,41,0,-7.004769912848133,0.0
2014-11-11,15,0,-5.063469772299868,0.0
2014-11-12,16,0,-3.4986627949401736,0.0
2014-11-13,4,0,-0.45203194953501225,0.0
2014-11-14,4,0,0.41921340994304046,0.0
2014-11-15,3,0,-0.4252702461089939,0.0
2014-11-16,6,0,-0.933150707744062,0.0
2014-11-17,70,4,-14.230184047613875,-0.49572275928221643
2014-11-18,42,1,-6.632525494031142,-0.09305375628173351
2014-11-19,17,0,-1.5326784049830167,0.0
2014-11-20,16,0,-3.526141983922571,0.0
2014-11-21,83,0,-14.563225259378669,0.0
2014-11-22,3,0,-1.344323843717575,0.0
2014-11-23,50,0,-5.8714962638914585,0.0
2014-11-24,7,0,-1.88654112117365,0.0
2014-11-25,2,0,-0.372923051007092,0.0
2014-11-26,0,0,0.0,0.0
