post_id,text,comment_time,from_id,clean_text,keyword_i,mood
1270489,"[id217378276|Вячеслав], они, эти никчемыши наивные, думают, что после смены власти им, таки, разрешат однополые браки официально. Тьфу!",1616588024,449971708,id217378276вячеслав они эти никчемыши наивные думают что после смены власти им таки разрешат однополые браки официально тьфу,0,-0.15313607454299927
1270489,"А что ,надо было напечатать портрет убийцы и вора Фургала?",1616588482,343793928,а что надо было напечатать портрет убийцы и вора фургала,0,-0.13404635665938258
1270489,Жаль Хабаровск,1616588499,137588309,жаль хабаровск,0,-0.20093448646366596
1270489,"Это не наказание, это месть.",1616591230,335408252,это не наказание это месть,0,-0.31546542793512344
1270489,Вообще ПОФИГ!,1616594739,269778992,вообще пофиг,0,0.716838214546442
1270489,Зачем?  Это что такая борьба с инфляцией?,1616597198,215481806,зачем  это что такая борьба с инфляцией,0,-0.1250668522552587
1270489,Так все и поверили,1616604683,483949248,так все и поверили,0,0.054449569433927536
1344222,да уж не до ипотеки сейчас,1638218122,52841218,да уж не до ипотеки сейчас,0,-0.3675103976856917
1344222,Новостройки как карточные домики,1638218563,159086293,новостройки как карточные домики,0,-0.09588049724698067
1344222,"Квартиры в два раза подорожали, на что их покупать то",1638219445,1050954,квартиры в два раза подорожали на что их покупать то,0,-0.49744910071603954
1344222,В 2026 году они будут раз в шесть дороже,1638268478,182278126,в 2026 году они будут раз в шесть дороже,0,-0.10361359268426895
1344222,"Хм, сейчас вторичка выгоднее, новострой отдыхает",1638323163,61574096,хм сейчас вторичка выгоднее новострой отдыхает,0,0.01775684952735901
1475295,Напле ЧО!)),1653073447,21560465,напле чо,0,0.8774768249859335
1475295,Очень плохое решение,1653081922,15148504,очень плохое решение,0,0.4430628791451454
1278686,"Жаль, что счета олигархов не закрывают, видимо пиндосы имеют еще и от наших миллиардеров !!!",1618489879,58460065,жаль что счета олигархов не закрывают видимо пиндосы имеют еще и от наших миллиардеров ,0,-0.38265570998191833
1278686,и смысл с ним встречаться,1618489887,91402939,и смысл с ним встречаться,0,0.15922456607222557
1278686,"ну и что тогда ""миротворца"" из себя строил? О чем с ним разговаривать будет Путин?",1618490010,223657121,ну и что тогда миротворца из себя строил о чем с ним разговаривать будет путин,0,-0.45681799203157425
1278686,Когда мы уже перестанем сюсюкаться с западом🧐🤔😬,1618490926,6073284,когда мы уже перестанем сюсюкаться с западом🧐🤔😬,0,-0.2094385325908661
1278686,"Да когда их не было этих санкций - в 40е и 90е? Как-то не колышет. Пусть и дальше облапошивают своих надуманной ""внешней угрозой""",1618491236,432848176,да когда их не было этих санкций  в 40е и 90е както не колышет пусть и дальше облапошивают своих надуманной внешней угрозой,0,-0.22817010059952736
